#i E KE PE T P
0.000000 -5.599492 1.659698 -7.259191 120.000000 -0.237081
0.017873 -5.597572 1.659698 -7.257271 120.000000 -0.236509
0.035747 -5.586649 1.659698 -7.246347 120.000000 -0.235054
0.053620 -5.564755 1.659698 -7.224453 120.000000 -0.232654
0.071494 -5.528710 1.659698 -7.188408 120.000000 -0.229214
0.089367 -5.474206 1.659698 -7.133904 120.000000 -0.224616
0.107240 -5.396183 1.659698 -7.055881 120.000000 -0.218724
0.125114 -5.289856 1.659698 -6.949555 120.000000 -0.211410
0.142987 -5.152822 1.659698 -6.812520 120.000000 -0.202597
0.160860 -4.988403 1.659698 -6.648101 120.000000 -0.192317
0.178734 -4.809163 1.659698 -6.468861 120.000000 -0.180788
0.196607 -4.637444 1.659698 -6.297142 120.000000 -0.168452
0.214481 -4.499258 1.659698 -6.158956 120.000000 -0.155923
0.232354 -4.412594 1.659698 -6.072293 120.000000 -0.143845
0.250227 -4.378313 1.659698 -6.038012 120.000000 -0.132704
0.268101 -4.380878 1.659698 -6.040576 120.000000 -0.122729
0.285974 -4.397974 1.659698 -6.057672 120.000000 -0.113899
0.303847 -4.412463 1.659698 -6.072162 120.000000 -0.106050
0.321721 -4.418895 1.659698 -6.078593 120.000000 -0.098995
0.339594 -4.419635 1.659698 -6.079333 120.000000 -0.092590
0.357468 -4.415976 1.659698 -6.075674 120.000000 -0.086717
0.375341 -4.406156 1.659698 -6.065855 120.000000 -0.081265
0.393214 -4.388361 1.659698 -6.048059 120.000000 -0.076129
0.411088 -4.360118 1.659698 -6.019817 120.000000 -0.071202
0.428961 -4.317869 1.659698 -5.977567 120.000000 -0.066377
0.446834 -4.261147 1.659698 -5.920845 120.000000 -0.061563
0.464708 -4.195738 1.659698 -5.855437 120.000000 -0.056712
0.482581 -4.132834 1.659698 -5.792532 120.000000 -0.051841
0.500455 -4.084539 1.659698 -5.744238 120.000000 -0.047028
0.518328 -4.057797 1.659698 -5.717496 120.000000 -0.042373
0.536201 -4.051403 1.659698 -5.711102 120.000000 -0.037965
0.554075 -4.059620 1.659698 -5.719318 120.000000 -0.033856
0.571948 -4.078761 1.659698 -5.738460 120.000000 -0.030081
0.589821 -4.108742 1.659698 -5.768440 120.000000 -0.026666
0.607695 -4.148352 1.659698 -5.808050 120.000000 -0.023629
0.625568 -4.191381 1.659698 -5.851079 120.000000 -0.020958
0.643442 -4.229660 1.659698 -5.889359 120.000000 -0.018609
0.661315 -4.260342 1.659698 -5.920040 120.000000 -0.016532
0.679188 -4.288836 1.659698 -5.948534 120.000000 -0.014699
0.697062 -4.322926 1.659698 -5.982625 120.000000 -0.013108
0.714935 -4.363253 1.659698 -6.022952 120.000000 -0.011760
0.732808 -4.400125 1.659698 -6.059823 120.000000 -0.010621
0.750682 -4.420650 1.659698 -6.080348 120.000000 -0.009620
0.768555 -4.418215 1.659698 -6.077914 120.000000 -0.008667
0.786429 -4.397703 1.659698 -6.057401 120.000000 -0.007699
0.804302 -4.373237 1.659698 -6.032936 120.000000 -0.006696
0.822175 -4.357920 1.659698 -6.017618 120.000000 -0.005680
0.840049 -4.353794 1.659698 -6.013493 120.000000 -0.004678
0.857922 -4.353180 1.659698 -6.012879 120.000000 -0.003696
0.875796 -4.348857 1.659698 -6.008555 120.000000 -0.002722
0.893669 -4.340827 1.659698 -6.000525 120.000000 -0.001744
0.911542 -4.333745 1.659698 -5.993443 120.000000 -0.000766
0.929416 -4.331464 1.659698 -5.991162 120.000000 0.000198
0.947289 -4.334906 1.659698 -5.994605 120.000000 0.001135
0.965162 -4.342135 1.659698 -6.001833 120.000000 0.002034
0.983036 -4.349755 1.659698 -6.009453 120.000000 0.002898
1.000909 -4.355487 1.659698 -6.015185 120.000000 0.003732
1.018783 -4.359297 1.659698 -6.018995 120.000000 0.004543
1.036656 -4.362413 1.659698 -6.022112 120.000000 0.005332
1.054529 -4.366012 1.659698 -6.025711 120.000000 0.006098
1.072403 -4.371032 1.659698 -6.030731 120.000000 0.006837
1.090276 -4.377530 1.659698 -6.037229 120.000000 0.007545
1.108149 -4.383671 1.659698 -6.043370 120.000000 0.008223
1.126023 -4.386484 1.659698 -6.046182 120.000000 0.008876
1.143896 -4.384044 1.659698 -6.043743 120.000000 0.009514
1.161770 -4.377396 1.659698 -6.037094 120.000000 0.010145
1.179643 -4.371404 1.659698 -6.031102 120.000000 0.010762
1.197516 -4.372510 1.659698 -6.032209 120.000000 0.011350
1.215390 -4.381329 1.659698 -6.041027 120.000000 0.011893
1.233263 -4.388623 1.659698 -6.048322 120.000000 0.012394
1.251136 -4.381691 1.659698 -6.041389 120.000000 0.012883
1.269010 -4.354043 1.659698 -6.013741 120.000000 0.013402
1.286883 -4.309642 1.659698 -5.969340 120.000000 0.013982
1.304757 -4.260223 1.659698 -5.919922 120.000000 0.014632
1.322630 -4.217540 1.659698 -5.877238 120.000000 0.015336
1.340503 -4.187843 1.659698 -5.847541 120.000000 0.016068
1.358377 -4.173872 1.659698 -5.833570 120.000000 0.016796
1.376250 -4.177990 1.659698 -5.837688 120.000000 0.017486
1.394123 -4.199789 1.659698 -5.859487 120.000000 0.018108
1.411997 -4.233347 1.659698 -5.893046 120.000000 0.018643
1.429870 -4.268639 1.659698 -5.928338 120.000000 0.019093
1.447744 -4.296861 1.659698 -5.956560 120.000000 0.019475
1.465617 -4.314550 1.659698 -5.974249 120.000000 0.019812
1.483490 -4.322477 1.659698 -5.982176 120.000000 0.020124
1.501364 -4.323478 1.659698 -5.983177 120.000000 0.020426
1.519237 -4.321041 1.659698 -5.980739 120.000000 0.020727
1.537110 -4.318718 1.659698 -5.978416 120.000000 0.021026
1.554984 -4.317314 1.659698 -5.977013 120.000000 0.021323
1.572857 -4.313942 1.659698 -5.973640 120.000000 0.021621
1.590731 -4.307137 1.659698 -5.966835 120.000000 0.021925
1.608604 -4.301787 1.659698 -5.961486 120.000000 0.022232
1.626477 -4.305362 1.659698 -5.965061 120.000000 0.022528
1.644351 -4.316468 1.659698 -5.976166 120.000000 0.022803
1.662224 -4.325156 1.659698 -5.984855 120.000000 0.023062
1.680097 -4.325283 1.659698 -5.984981 120.000000 0.023320
1.697971 -4.319426 1.659698 -5.979125 120.000000 0.023585
1.715844 -4.313511 1.659698 -5.973209 120.000000 0.023859
