#i E KE PE T dT P Cv R2
0 -0.038711 0.015368 -0.054079 120.000000 0.000000 0.069529 162.000000 0.000000
0.017873 -0.038710 0.015544 -0.054254 120.690197 0.000033 0.068737 162.862858 0.000024
0.035747 -0.038709 0.015687 -0.054396 121.291440 0.000071 0.068092 163.877780 0.000096
0.053620 -0.038708 0.015788 -0.054496 121.788668 0.000103 0.067611 164.738734 0.000214
0.071494 -0.038708 0.015843 -0.054550 122.173106 0.000121 0.067289 165.244135 0.000379
0.089367 -0.038709 0.015841 -0.054551 122.427284 0.000122 0.067138 165.269678 0.000588
0.107240 -0.038711 0.015753 -0.054464 122.510153 0.000107 0.067217 164.865263 0.000839
0.125114 -0.038707 0.015567 -0.054274 122.390743 0.000101 0.067574 164.687053 0.001131
0.142987 -0.038695 0.015359 -0.054055 122.117888 0.000130 0.068130 165.481425 0.001462
0.160860 -0.038691 0.015281 -0.053972 121.838223 0.000165 0.068628 166.444616 0.001828
0.178734 -0.038701 0.015380 -0.054082 121.680231 0.000167 0.068844 166.507342 0.002226
0.196607 -0.038709 0.015536 -0.054245 121.649983 0.000154 0.068781 166.143046 0.002653
0.214481 -0.038708 0.015632 -0.054340 121.681931 0.000143 0.068570 165.837537 0.003104
0.232354 -0.038704 0.015661 -0.054365 121.725381 0.000134 0.068313 165.600225 0.003577
0.250227 -0.038704 0.015660 -0.054364 121.762797 0.000126 0.068062 165.389286 0.004068
0.268101 -0.038706 0.015643 -0.054349 121.786897 0.000119 0.067847 165.188052 0.004578
0.285974 -0.038713 0.015573 -0.054286 121.776234 0.000112 0.067720 165.000925 0.005107
0.303847 -0.038719 0.015376 -0.054094 121.681042 0.000117 0.067778 165.118979 0.005656
0.321721 -0.038717 0.014992 -0.053709 121.438071 0.000183 0.068134 166.948319 0.006224
0.339594 -0.038704 0.014484 -0.053188 121.021100 0.000401 0.068834 173.241899 0.006813
0.357468 -0.038691 0.014054 -0.052745 120.484021 0.000782 0.069778 185.510768 0.007419
0.375341 -0.038690 0.013897 -0.052587 119.940157 0.001185 0.070761 200.500957 0.008039
0.393214 -0.038697 0.014051 -0.052748 119.495613 0.001447 0.071584 211.590062 0.008670
0.411088 -0.038705 0.014413 -0.053118 119.206020 0.001529 0.072139 215.335528 0.009307
0.428961 -0.038707 0.014858 -0.053565 119.078606 0.001498 0.072402 213.928808 0.009948
0.446834 -0.038705 0.015321 -0.054025 119.099907 0.001441 0.072389 211.336146 0.010589
0.464708 -0.038704 0.015794 -0.054498 119.256550 0.001429 0.072118 210.794555 0.011232
0.482581 -0.038709 0.016255 -0.054964 119.530656 0.001514 0.071619 214.623846 0.011877
0.500455 -0.038714 0.016627 -0.055341 119.885987 0.001699 0.070958 223.504567 0.012529
0.518328 -0.038714 0.016829 -0.055543 120.270245 0.001928 0.070230 235.557074 0.013189
0.536201 -0.038710 0.016845 -0.055555 120.633643 0.002126 0.069530 247.132083 0.013861
0.554075 -0.038704 0.016728 -0.055432 120.945740 0.002256 0.068916 255.293240 0.014546
0.571948 -0.038700 0.016560 -0.055260 121.199333 0.002318 0.068405 259.439093 0.015244
0.589821 -0.038698 0.016411 -0.055109 121.403627 0.002336 0.067986 260.635443 0.015954
0.607695 -0.038699 0.016310 -0.055009 121.573766 0.002330 0.067633 260.194492 0.016675
0.625568 -0.038702 0.016249 -0.054950 121.721182 0.002311 0.067328 258.924115 0.017406
0.643442 -0.038704 0.016193 -0.054897 121.848877 0.002283 0.067065 257.085320 0.018146
0.661315 -0.038703 0.016118 -0.054821 121.954435 0.002247 0.066849 254.714291 0.018894
0.679188 -0.038703 0.016022 -0.054725 122.035390 0.002203 0.066685 251.904353 0.019650
0.697062 -0.038703 0.015912 -0.054615 122.090723 0.002154 0.066573 248.832139 0.020414
0.714935 -0.038704 0.015788 -0.054492 122.119735 0.002103 0.066514 245.697074 0.021188
0.732808 -0.038706 0.015645 -0.054351 122.120822 0.002053 0.066510 242.709482 0.021970
0.750682 -0.038708 0.015472 -0.054180 122.090404 0.002009 0.066563 240.137377 0.022764
0.768555 -0.038707 0.015268 -0.053975 122.025166 0.001977 0.066674 238.348221 0.023570
0.786429 -0.038703 0.015075 -0.053778 121.929375 0.001964 0.066831 237.569987 0.024391
0.804302 -0.038704 0.014957 -0.053660 121.817657 0.001962 0.067000 237.495884 0.025227
0.822175 -0.038707 0.014928 -0.053635 121.705967 0.001963 0.067150 237.525060 0.026079
0.840049 -0.038710 0.014952 -0.053662 121.602894 0.001959 0.067264 237.307255 0.026948
0.857922 -0.038710 0.014991 -0.053701 121.510202 0.001950 0.067336 236.794968 0.027830
0.875796 -0.038706 0.015043 -0.053749 121.429252 0.001935 0.067366 235.975182 0.028724
0.893669 -0.038704 0.015144 -0.053848 121.366944 0.001912 0.067342 234.711475 0.029628
0.911542 -0.038706 0.015310 -0.054016 121.331951 0.001881 0.067253 232.991572 0.030537
0.929416 -0.038708 0.015500 -0.054208 121.326265 0.001846 0.067098 231.096262 0.031453
0.947289 -0.038707 0.015667 -0.054374 121.345040 0.001812 0.066890 229.322487 0.032373
0.965162 -0.038705 0.015802 -0.054507 121.382223 0.001783 0.066645 227.808996 0.033297
0.983036 -0.038705 0.015907 -0.054612 121.432825 0.001759 0.066374 226.582991 0.034226
1.000909 -0.038705 0.015977 -0.054683 121.491233 0.001740 0.066092 225.581887 0.035158
1.018783 -0.038706 0.015995 -0.054701 121.550029 0.001722 0.065815 224.653760 0.036093
1.036656 -0.038704 0.015957 -0.054661 121.601733 0.001701 0.065559 223.642285 0.037030
1.054529 -0.038702 0.015882 -0.054585 121.642050 0.001678 0.065334 222.498587 0.037970
1.072403 -0.038701 0.015807 -0.054507 121.671327 0.001654 0.065142 221.275836 0.038912
