#t E KE PE
0 -5.599492 1.659698 -7.259191
0.017873 -5.600699 1.656320 -7.257019
0.035747 -5.600876 1.644488 -7.245364
0.053620 -5.601160 1.620982 -7.222142
0.071494 -5.601540 1.582549 -7.184089
0.089367 -5.601969 1.525051 -7.127019
0.107240 -5.602319 1.444357 -7.046676
0.125114 -5.602364 1.338328 -6.940691
0.142987 -5.601843 1.210001 -6.811844
0.160860 -5.600721 1.070643 -6.671364
0.178734 -5.599455 0.939195 -6.538650
0.196607 -5.598752 0.835486 -6.434237
0.214481 -5.598907 0.770757 -6.369664
0.232354 -5.599574 0.743700 -6.343274
0.250227 -5.600234 0.744754 -6.344988
0.268101 -5.600679 0.763092 -6.363772
0.285974 -5.600925 0.790522 -6.391447
0.303847 -5.601078 0.821665 -6.422743
0.321721 -5.601172 0.852881 -6.454053
0.339594 -5.601143 0.881895 -6.483038
0.357468 -5.601058 0.907973 -6.509030
0.375341 -5.601027 0.931334 -6.532360
0.393214 -5.601091 0.951715 -6.552806
0.411088 -5.601196 0.967656 -6.568853
0.428961 -5.601245 0.977269 -6.578514
0.446834 -5.601207 0.979491 -6.580698
0.464708 -5.601103 0.974689 -6.575793
0.482581 -5.601025 0.964264 -6.565288
0.500455 -5.601008 0.949642 -6.550650
0.518328 -5.601055 0.931420 -6.532475
0.536201 -5.601129 0.909349 -6.510478
0.554075 -5.601122 0.883237 -6.484359
0.571948 -5.600954 0.854241 -6.455195
0.589821 -5.600647 0.825725 -6.426372
0.607695 -5.600333 0.802823 -6.403157
0.625568 -5.600154 0.790566 -6.390719
0.643442 -5.600158 0.791877 -6.392034
0.661315 -5.600349 0.806645 -6.406995
0.679188 -5.600663 0.831793 -6.432456
0.697062 -5.600962 0.862187 -6.463150
0.714935 -5.601119 0.892624 -6.493744
0.732808 -5.601133 0.919677 -6.520810
0.750682 -5.601078 0.942022 -6.543100
0.768555 -5.601059 0.959365 -6.560425
0.786429 -5.601107 0.971278 -6.572385
0.804302 -5.601195 0.976775 -6.577970
0.822175 -5.601261 0.974560 -6.575821
0.840049 -5.601258 0.963854 -6.565112
0.857922 -5.601146 0.945242 -6.546388
0.875796 -5.601006 0.920875 -6.521881
0.893669 -5.600928 0.893433 -6.494361
0.911542 -5.600891 0.864859 -6.465750
0.929416 -5.600755 0.836747 -6.437502
0.947289 -5.600509 0.811798 -6.412307
0.965162 -5.600303 0.793912 -6.394215
0.983036 -5.600258 0.786303 -6.386561
1.000909 -5.600373 0.789762 -6.390135
1.018783 -5.600517 0.802797 -6.403314
1.036656 -5.600650 0.823005 -6.423655
1.054529 -5.600788 0.847906 -6.448695
1.072403 -5.600982 0.874669 -6.475651
1.090276 -5.601192 0.899798 -6.500990
1.108149 -5.601301 0.919776 -6.521077
1.126023 -5.601241 0.932544 -6.533784
1.143896 -5.601046 0.938496 -6.539542
1.161770 -5.600830 0.940016 -6.540846
